Committee,CommitteeName,AddDate,AreaRegion,ParentName,ComemID,ContactID,ContactName,CompanyName,ContactAddrID,ContactAddress1,ContactAddress2,ContactCity,ContactState,ContactZip,ContactCountry,ContactPhone,MeetingID,Room,Closed,WheelChr,Day,Time,Language1,Language2,Language3,LocationId,Place,Address,City,LocBorough,State,Zip,Country,Directions,Institutional,Format1,Format2,Format3,Format4,Format5,Delete,LastChanged,Longitude,Latitude,ContactGP,PhoneMeetingNumber,VirtualMeetingLink,VirtualMeetingInfo,TimeZone,bmlt_id,unpublished
,"Magic Valley Area Service Meeting",,MAGICVALLEY,"Magic Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1000,,,,,,"327 Madrona Street","Twin Falls",,ID,83301,USA,"Join us on Zoom room 923-451-1525",FALSE,HYBR,,,,,,5/4/26,-114.4506404,42.5518479,,923-451-1525,,,America/Denver,2726,
,"Snake River H&I Sub-committee",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1000,,,,,,"790 NE Main Street",Blackfoot,,ID,83221,us,,FALSE,,,,,,,5/4/26,-112.3374695,43.1938586,,,,,America/Denver,2768,
,"Sunday Morning Mens Meeting",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,OPEN,FALSE,Sunday,1000,,,,,"Alano Club","3820 Cassia Street",Boise,,ID,83705,USA,"Men only Meeting is on the ground floor. There will be an NA sign on the door.",FALSE,NS,,,,,,5/4/26,-116.2296203,43.5972986,,,,,America/Denver,2797,
,"Dusk til Dawn Step Study",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1030,,,,,,"209 Idaho Street","American Falls",,ID,83211,us,,FALSE,,,,,,,5/4/26,-112.8540858,42.784535,,,,,America/Denver,2767,
,"PAUL: Sunday Morning 12 Concepts",,MINICASSIA,"Mini Cassia",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1100,,,,,,"220 East Ellis Street",Paul,,ID,83347,us,,FALSE,,,,,,,5/4/26,-113.7800629,42.6045505,,,,,America/Denver,2741,
,"Noon Group",,HIGHDESERT,"High Desert",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1300,,,,,,"619 12th Ave South",Nampa,,ID,83651,USA,"Downstairs Hall Primary Room",FALSE,,,,,,,5/4/26,-116.5656763,43.5747392,,,,,America/Denver,2708,
,"Snake River Area Service Committee",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1300,,,,,,"790 NE Main Street",Blackfoot,,ID,83221,us,,FALSE,,,,,,,5/4/26,-112.3374695,43.1938586,,,,,America/Denver,2769,
,"High Desert Public Relations Sub-committee",,HIGHDESERT,"High Desert",,,,,,,,,,,,,,,OPEN,TRUE,Sunday,1330,,,,,,"3 West Concord",Middleton,,ID,83644,,,FALSE,NS,,,,,,5/4/26,-116.6233753,43.7112839,,,,,America/Denver,2716,
,"Recovery Is A Journey Not A Destination",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,OPEN,TRUE,Sunday,1400,,,,,,"4821 Franklin Rd",Boise,,ID,83705,us,"In the basement",FALSE,NS,,,,,,5/4/26,-116.242087,43.602264,,,,,America/Denver,2799,
,"Treasure Valley Area Service Committee",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1430,,,,,,"2920 Cassia Street",Boise,,ID,83705,us,"This is our Area business meeting held on the second Sunday of every month. There is no set end time. If you're curious about service within NA we'd love to have you join us!",FALSE,,,,,,,5/4/26,-116.21808,43.5975483,,,,,America/Denver,2798,
