Committee,CommitteeName,AddDate,AreaRegion,ParentName,ComemID,ContactID,ContactName,CompanyName,ContactAddrID,ContactAddress1,ContactAddress2,ContactCity,ContactState,ContactZip,ContactCountry,ContactPhone,MeetingID,Room,Closed,WheelChr,Day,Time,Language1,Language2,Language3,LocationId,Place,Address,City,LocBorough,State,Zip,Country,Directions,Institutional,Format1,Format2,Format3,Format4,Format5,Delete,LastChanged,Longitude,Latitude,ContactGP,PhoneMeetingNumber,VirtualMeetingLink,VirtualMeetingInfo,TimeZone,bmlt_id,unpublished
,"Keeping It Green",,AR_SASQUATCH,"Sasquatch Area",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,0900,,,,,,,,,,,US,,FALSE,VM,,,,,,5/4/26,-111.891,40.7608,,,https://zoom.us/j/8403284032,"– 9:00 am Mountain Time NEW TIME! ONLINE ONLY – Sasquatch Area MEETING ROOM Step Study",America/Denver,2870,
,"Never Alone, Never Again",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Sunday,0930,,,,,"Virtual Meeting",,,,,,US,,FALSE,VM,,,,,,5/4/26,-111.891,40.7608,,,https://zoom.us/j/5608701201,"Zoom Meeting ID: 560 870 1201 , Passcode: 111888",America/Denver,2803,
,"Donut Use Today",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Sunday,1000,,,,,"Fellowship Hall","2060 South Windsor St.","Salt Lake City",,UT,,US,,FALSE,LIT,,,,,,5/4/26,-111.8667948,40.7135768,,,,,America/Denver,2806,
,"Men’s Meeting",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1000,,,,,"Recovery Cafe","124 S. 600 W.",Logan,,UT,,US,,FALSE,,,,,,,5/4/26,-111.8494992,41.7290815,,,,,America/Denver,2835,
,"Sunday Spiritual Meeting",,AR_CENTRAL,"Central Area",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1000,,,,,"Alano Club","875 W 1850 N",Provo,,UT,,US,,FALSE,,,,,,,5/4/26,-111.6737152,40.2589077,,,,,America/Denver,2867,
,EmpowerHER,,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1130,,,,,"Recovery Cafe","124 S. 600 W.",Logan,,UT,,US,,FALSE,,,,,,,5/4/26,-111.8494992,41.7290815,,,,,America/Denver,2834,
,"Search For Serenity",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1300,,,,,"Alano Club","684 24th Street",Ogden,,UT,,US,,FALSE,,,,,,,5/4/26,-111.9623618,41.2229073,,,,,America/Denver,2832,
,"Sunday Connection",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1300,,,,,"Recovery Cafe","124 S. 600 W.",Logan,,UT,,US,,FALSE,,,,,,,5/4/26,-111.8494992,41.7290815,,,,,America/Denver,2836,
,"Grateful Men's Meeting",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1615,,,,,"Murray Alano Club","5056 South Commerce Dr.",Murray,,UT,,US,"East room",FALSE,,,,,,,5/4/26,-111.8993664,40.6618815,,,,,America/Denver,2805,
,"Sunday Night Spiritual Meeting",,AR_CENTRAL,"Central Area",,,,,,,,,,,,,,,OPEN,TRUE,Sunday,1800,,,,,,"91 E Main Street",Price,,UT,,US,,FALSE,,,,,,,5/4/26,-110.8094206,39.5999981,,,,,America/Denver,2871,
,"Logan’s Living Clean",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1830,,,,,"Whittier Center","290 N. 400 E.",Logan,,UT,,US,,FALSE,,,,,,,5/4/26,-111.8239417,41.7366008,,,,,America/Denver,2839,
,"Recovery Elevated",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,TRUE,Sunday,1900,,,,,"Fit to Recover","1335 South Major St.","Salt Lake City",,UT,,US,"Creative Arts building",FALSE,,,,,,,5/4/26,-111.8892475,40.7405882,,,,,America/Denver,2802,
,"Unconditional Love",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1900,,,,,"Congregation Kol Ami Synagogue","2425 East Heritage Way (2760 S)","Salt Lake City",,UT,,US,Ⓚ,FALSE,,,,,,,5/4/26,-111.8214083,40.7118701,,,,,America/Denver,2804,
,"New Beginnings",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1900,,,,,"Ogden Regional","5475 S 500 E",Ogden,,UT,84405,US,,FALSE,,,,,,,5/4/26,-111.9708798,41.1649082,,,,,America/Denver,2838,
,"Spiritual Solutio",,AR_LAKESIDE,"Lakeside Unity Area",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,2000,,,,,"ns / Elevation Church","1659 E. 1400 S",Clearfield,,UT,,US,,FALSE,,,,,,,5/4/26,-111.9928515,41.0959955,,,,,America/Denver,2866,
,"Dawgs of Recovery",,AR_SASQUATCH,"Sasquatch Area",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,2000,,,,,,,,,,,US,,FALSE,VM,,,,,,5/4/26,-111.891,40.7608,,,https://zoom.us/j/8403284032,"– 8:00 pm Mountain Time Living Clean Reading – Online Meeting ONLINE ONLY MEETING ROOM",America/Denver,2868,
,"Candlelight Meeting",,AR_HIGH_UINTAH,"High Uintah Area",,,,,,,,,,,,,,,OPEN,FALSE,Sunday,2000,,,,,"American Legion Hall","341 N. Vernal Ave",Vernal,,UT,84078,US,,FALSE,,,,,,,5/4/26,-109.5290712,40.4607454,,,,,America/Denver,2881,
,"Monday Morning Miracles",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Monday,0900,,,,,"Virtual Meeting",,,,,,US,,FALSE,VM,,,,,,5/4/26,-111.891,40.7608,,,https://us06web.zoom.us/j/85719281707?pwd=8940pwLnZyC4rcVSZaiMhctCNlRlz1.1,"Zoom Meeting ID: 857 1928 1707, Passcode: 1953",America/Denver,2810,
,"Monday Night Literature Group",,AR_CENTRAL,"Central Area",,,,,,,,,,,,,,,OPEN,TRUE,Monday,1800,,,,,,"91 E Main Street",Price,,UT,,US,,FALSE,,,,,,,5/4/26,-110.8094206,39.5999981,,,,,America/Denver,2875,
,"Second Chance",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Monday,1830,,,,,"The Room on Main Events Center","10 North Main St.",Tooele,,UT,,US,,FALSE,,,,,,,5/4/26,-112.2980817,40.5308779,,,,,America/Denver,2808,
,"Monday NA Meeting",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,TRUE,Monday,1830,,,,,"Redwood Recreation Center","3060 South Lester St.","West Valley City",,UT,,US,,FALSE,,,,,,,5/4/26,-111.9377637,40.7053731,,,,,America/Denver,2809,
,"Principles of Recovery",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Monday,1830,,,,,"Bridge Church","9066 South 300 West",Sandy,,UT,,US,,FALSE,,,,,,,5/4/26,-111.901833,40.587009,,,,,America/Denver,2811,
